Rk,player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
109,Quentin Grimes,24,2TM,SG,70,32,26.2,5.0,10.5,.476,2.1,5.3,.391,2.9,5.1,.564,.576,2.0,2.7,.759,0.8,3.4,4.2,2.8,1.0,0.3,1.8,1.8,14.1
109,Quentin Grimes,24,DAL,SG,47,12,22.8,3.6,7.8,.463,1.7,4.3,.398,1.9,3.5,.543,.573,1.3,1.7,.765,0.6,3.2,3.8,2.1,0.7,0.2,1.3,1.7,10.2
109,Quentin Grimes,24,PHI,SG,23,20,33.3,7.8,16.0,.489,2.9,7.5,.384,5.0,8.5,.582,.579,3.5,4.6,.755,1.0,3.9,4.9,4.3,1.6,0.5,2.8,2.1,22.0
110,Tre Mann,23,CHO,PG,13,0,24.5,5.4,12.4,.435,1.8,4.6,.400,3.5,7.8,.455,.509,1.5,1.6,.905,0.9,2.0,2.9,3.0,0.5,0.3,1.9,1.8,14.1
111,Dillon Brooks,29,HOU,SF,73,73,32.0,5.1,12.0,.425,2.5,6.3,.394,2.6,5.7,.459,.529,1.3,1.6,.824,1.0,2.7,3.7,1.7,0.8,0.2,1.0,3.3,14.0
112,Payton Pritchard,27,BOS,PG,74,1,28.3,4.9,10.6,.464,3.2,7.9,.410,1.7,2.7,.623,.617,0.9,1.1,.838,1.3,2.5,3.8,3.3,0.9,0.2,1.0,1.5,14.0
113,Amen Thompson,22,HOU,SF,66,39,32.3,5.6,10.1,.555,0.3,1.3,.267,5.2,8.8,.598,.572,2.5,3.7,.680,2.8,5.4,8.2,3.7,1.4,1.3,2.0,2.4,14.0
114,Jarrett Allen,26,CLE,C,76,76,28.6,5.7,8.0,.710,0.0,0.1,.000,5.7,8.0,.715,.710,2.5,3.5,.722,2.7,7.3,10.0,1.9,1.0,0.9,1.2,1.6,13.9
115,Tobias Harris,32,DET,PF,70,70,32.0,5.3,11.2,.474,1.2,3.6,.335,4.1,7.6,.541,.528,2.0,2.3,.867,0.9,5.1,6.0,2.2,1.0,0.8,1.1,1.8,13.8
116,Josh Hart,29,NYK,SG,73,73,37.6,5.3,10.1,.529,1.1,3.3,.332,4.2,6.8,.624,.583,2.1,2.7,.779,2.1,7.4,9.5,5.8,1.5,0.4,2.0,2.6,13.8
117,Bobby Portis,29,MIL,PF,46,7,25.2,5.6,12.1,.463,1.3,3.6,.364,4.3,8.5,.505,.517,1.2,1.5,.821,1.8,6.5,8.3,2.2,0.7,0.5,1.2,1.9,13.7
118,Russell Westbrook,36,DEN,PG,70,36,28.3,5.1,11.2,.452,1.3,3.9,.330,3.8,7.2,.519,.510,2.0,3.1,.642,1.4,3.6,5.1,6.2,1.5,0.5,3.3,2.6,13.4
119,Dennis Schröder,31,3TM,PG,70,46,27.9,4.6,11.2,.407,1.7,5.1,.341,2.8,6.1,.463,.485,2.4,2.9,.846,0.3,2.3,2.6,5.5,0.9,0.2,1.9,2.5,13.3
119,Dennis Schröder,31,BRK,PG,23,23,33.6,6.4,14.1,.452,2.5,6.5,.387,3.9,7.6,.509,.542,3.1,3.5,.889,0.2,2.8,3.0,6.6,1.1,0.2,2.6,2.4,18.4
119,Dennis Schröder,31,GSW,SG,24,18,26.2,3.9,10.5,.375,1.5,4.8,.322,2.4,5.7,.419,.448,1.2,1.6,.744,0.4,1.9,2.3,4.4,1.0,0.1,2.0,2.8,10.6
119,Dennis Schröder,31,DET,PG,23,5,24.0,3.4,9.0,.377,1.1,3.9,.289,2.3,5.1,.444,.440,3.0,3.5,.852,0.4,2.2,2.6,5.4,0.6,0.2,1.1,2.2,10.9
120,Naji Marshall,27,DAL,SF,64,27,27.5,5.2,10.3,.508,0.9,3.2,.275,4.4,7.1,.613,.551,1.8,2.2,.817,1.1,3.8,4.9,2.9,1.0,0.2,1.5,1.6,13.2
121,Onyeka Okongwu,24,ATL,C,69,35,27.5,5.2,9.1,.567,0.6,1.9,.318,4.6,7.3,.631,.600,2.2,2.9,.754,3.0,5.8,8.8,2.3,0.9,1.0,1.1,2.6,13.1
122,Brook Lopez,36,MIL,C,74,74,32.1,4.9,9.6,.509,1.8,4.7,.374,3.1,4.9,.639,.601,1.4,1.7,.827,1.4,3.6,5.0,1.8,0.7,1.8,1.1,2.2,13.0
123,Alex Sarr,19,WAS,C,61,61,27.1,4.9,12.2,.398,1.6,5.1,.323,3.2,7.1,.453,.466,1.7,2.5,.662,1.9,4.6,6.5,2.2,0.7,1.6,1.6,2.2,13.0
124,Drew Timme,24,BRK,PF,3,0,24.7,5.7,9.3,.607,0.7,3.0,.222,5.0,6.3,.789,.643,1.0,1.3,.750,2.7,3.7,6.3,1.7,0.0,0.3,1.7,2.3,13.0
125,Rui Hachimura,26,LAL,PF,55,53,31.5,4.9,9.7,.505,1.7,4.1,.412,3.2,5.6,.573,.592,1.4,1.9,.765,1.3,3.7,5.0,1.4,0.8,0.5,0.8,1.7,12.9
126,Moritz Wagner,27,ORL,C,30,1,18.8,4.7,8.3,.562,0.9,2.5,.360,3.8,5.8,.649,.616,2.6,3.7,.718,1.3,3.6,4.9,1.4,0.8,0.4,1.6,1.8,12.9
127,D'Angelo Russell,28,2TM,PG,57,35,25.8,4.4,11.1,.394,2.0,6.2,.317,2.4,4.8,.493,.483,2.1,2.5,.834,0.4,2.5,2.8,5.2,1.0,0.4,1.9,2.0,12.8
127,D'Angelo Russell,28,LAL,PG,29,10,26.3,4.4,10.7,.415,1.9,5.8,.333,2.5,4.9,.510,.505,1.6,1.8,.849,0.3,2.5,2.8,4.7,0.8,0.1,1.7,1.8,12.4
127,D'Angelo Russell,28,BRK,PG,28,25,25.2,4.3,11.5,.374,2.0,6.7,.303,2.3,4.8,.474,.463,2.7,3.3,.826,0.4,2.5,2.9,5.7,1.2,0.7,2.0,2.1,13.3
128,Santi Aldama,24,MEM,PF,60,16,25.4,5.0,10.3,.484,1.9,5.0,.368,3.1,5.2,.596,.574,1.0,1.5,.697,1.5,5.0,6.6,2.9,0.8,0.5,1.1,1.1,12.8
129,Malcolm Brogdon,32,WAS,PG,24,13,23.5,4.3,10.0,.433,0.7,2.3,.286,3.7,7.7,.478,.467,3.4,3.8,.880,0.9,2.9,3.8,4.1,0.5,0.2,1.6,1.3,12.7
130,Scoot Henderson,20,POR,PG,66,10,26.7,4.3,10.4,.419,1.6,4.5,.354,2.8,5.9,.469,.496,2.4,3.1,.767,0.8,2.2,3.0,5.1,1.0,0.2,2.7,2.7,12.7
131,Keldon Johnson,25,SAS,SF,72,0,23.8,4.8,9.8,.484,1.2,3.5,.331,3.6,6.3,.569,.543,2.0,2.6,.778,1.4,3.3,4.7,1.6,0.7,0.3,1.0,1.5,12.7
132,Keegan Murray,24,SAC,PF,73,73,34.7,4.9,10.9,.448,2.1,5.9,.350,2.8,4.9,.565,.543,0.8,1.0,.829,2.0,4.7,6.7,1.4,0.8,0.9,0.8,2.5,12.6
133,Jaden McDaniels,24,MIN,PF,76,76,32.1,4.9,10.3,.480,1.3,3.8,.340,3.7,6.5,.560,.542,1.3,1.6,.817,1.6,4.3,5.9,2.0,1.4,0.9,1.1,2.8,12.5
134,Daniel Gafford,26,DAL,C,53,29,21.8,5.0,7.1,.701,0.0,0.0,,5.0,7.1,.701,.701,2.4,3.4,.691,2.7,4.1,6.8,1.4,0.4,1.8,1.2,2.7,12.4
135,Bilal Coulibaly,20,WAS,SF,59,59,33.0,4.5,10.6,.421,1.1,3.8,.281,3.4,6.8,.500,.472,2.3,3.1,.746,1.5,3.4,5.0,3.4,1.3,0.7,2.1,2.4,12.3
136,Ayo Dosunmu,25,CHI,SG,46,26,30.3,4.8,9.8,.492,1.3,4.1,.328,3.5,5.7,.612,.561,1.3,1.7,.785,0.6,2.9,3.5,4.5,0.9,0.4,1.5,2.3,12.3
137,Tari Eason,23,HOU,PF,53,15,25.2,4.8,9.8,.495,1.1,3.2,.351,3.7,6.6,.566,.553,1.5,1.9,.772,2.3,4.2,6.5,1.4,1.8,0.9,1.2,2.5,12.3
138,Zaccharie Risacher,19,ATL,SF,69,67,24.8,4.7,10.4,.448,1.6,4.5,.345,3.1,5.9,.527,.523,1.4,2.0,.719,1.2,2.4,3.7,1.2,0.7,0.5,1.2,1.9,12.3
139,Ty Jerome,27,CLE,SG,67,2,19.7,4.4,8.6,.509,1.5,3.6,.431,2.9,5.1,.563,.598,1.9,2.1,.868,0.7,1.8,2.5,3.3,1.1,0.0,1.3,1.5,12.2
140,Jabari Smith Jr.,21,HOU,PF,55,39,30.1,4.3,10.0,.434,1.7,4.9,.352,2.6,5.1,.514,.521,1.9,2.3,.823,1.8,5.0,6.8,1.1,0.4,0.7,1.0,2.1,12.2
141,Khris Middleton,33,2TM,SF,37,21,22.8,4.3,9.1,.475,1.3,3.6,.361,3.0,5.5,.549,.546,1.9,2.3,.857,0.4,3.4,3.7,4.1,0.9,0.2,1.5,2.0,11.9
141,Khris Middleton,33,MIL,SF,23,7,23.2,4.7,9.2,.512,1.5,3.7,.407,3.2,5.4,.584,.595,1.7,2.0,.848,0.2,3.5,3.7,4.4,0.7,0.2,1.6,2.3,12.6
141,Khris Middleton,33,WAS,SF,14,14,22.1,3.7,9.0,.413,0.9,3.4,.277,2.8,5.6,.494,.464,2.4,2.7,.868,0.6,3.1,3.7,3.4,1.3,0.2,1.4,1.6,10.7
142,Harrison Barnes,32,SAS,PF,76,76,27.0,4.1,8.3,.502,1.8,4.3,.421,2.4,4.0,.587,.610,1.9,2.3,.792,1.3,2.5,3.7,1.7,0.4,0.2,0.6,0.9,11.9
143,Jalen Duren,21,DET,C,73,73,26.1,4.8,7.0,.688,0.0,0.0,,4.8,7.0,.688,.688,2.1,3.2,.678,3.5,6.7,10.3,2.6,0.7,1.1,1.8,3.3,11.8
144,Aaron Nesmith,25,IND,SF,40,32,25.0,4.2,8.4,.504,1.9,4.4,.418,2.4,4.0,.601,.615,1.5,1.7,.924,0.8,3.1,3.8,1.3,0.8,0.4,0.9,2.6,11.8
145,Caris LeVert,30,2TM,SG,59,3,24.9,4.2,9.2,.462,1.6,4.4,.369,2.6,4.8,.548,.551,1.6,2.3,.708,0.6,2.5,3.1,3.3,0.9,0.5,1.2,1.5,11.7
145,Caris LeVert,30,CLE,SF,38,3,23.8,3.6,7.8,.453,1.6,3.9,.405,2.0,3.9,.500,.554,1.5,2.2,.699,0.6,2.2,2.8,3.7,0.9,0.5,1.3,1.3,10.2
145,Caris LeVert,30,ATL,SG,21,0,26.9,5.5,11.6,.473,1.7,5.3,.321,3.8,6.2,.603,.547,1.9,2.6,.722,0.7,2.9,3.5,2.7,0.9,0.6,1.0,2.0,14.5
146,Aaron Wiggins,26,OKC,SG,70,23,22.7,4.6,9.3,.491,1.7,4.4,.390,2.9,4.9,.581,.583,0.8,1.0,.826,1.1,2.7,3.8,1.7,0.8,0.3,0.8,1.3,11.7
147,Donte DiVincenzo,28,MIN,SG,56,10,26.1,4.0,9.6,.416,2.8,7.1,.393,1.2,2.5,.482,.562,0.9,1.1,.790,0.5,3.2,3.8,3.8,1.2,0.3,1.5,1.8,11.6
148,Corey Kispert,25,WAS,SF,61,0,26.3,4.2,9.3,.451,2.0,5.4,.364,2.2,3.9,.574,.558,1.2,1.4,.852,0.6,2.4,3.0,1.7,0.4,0.2,1.0,1.6,11.6
149,Jeremy Sochan,21,SAS,PF,54,23,25.3,4.6,8.7,.535,0.5,1.7,.308,4.1,7.0,.590,.565,1.6,2.3,.696,2.4,4.2,6.5,2.4,0.8,0.5,1.6,2.4,11.4
150,Rudy Gobert,32,MIN,C,66,66,33.0,4.4,6.8,.655,0.0,0.0,,4.4,6.8,.655,.655,2.5,3.6,.679,3.6,7.0,10.6,1.8,0.8,1.4,1.3,2.5,11.3
151,Buddy Hield,32,GSW,SG,75,22,23.0,4.0,9.6,.420,2.5,6.7,.370,1.6,2.9,.534,.549,0.7,0.9,.828,0.6,2.7,3.3,1.7,0.9,0.3,1.2,1.6,11.3
152,Toumani Camara,24,POR,PF,73,73,32.9,4.2,9.0,.463,1.7,4.5,.378,2.5,4.5,.547,.557,1.2,1.6,.720,2.3,3.5,5.8,2.2,1.5,0.7,1.4,3.0,11.2
153,Isaiah Hartenstein,26,OKC,C,54,50,27.9,4.9,8.5,.572,0.0,0.4,.000,4.9,8.2,.596,.572,1.5,2.1,.681,2.8,8.0,10.8,3.9,0.8,1.1,1.7,3.0,11.2
154,Jrue Holiday,34,BOS,PG,58,58,30.6,4.2,9.3,.446,1.8,5.1,.350,2.4,4.3,.560,.542,1.1,1.2,.914,1.2,3.1,4.3,3.9,1.1,0.4,1.3,1.7,11.2
155,Spencer Dinwiddie,31,DAL,PG,75,28,26.8,3.7,8.6,.423,1.4,4.1,.338,2.3,4.5,.501,.504,2.4,3.0,.797,0.2,2.4,2.6,4.3,0.9,0.2,1.3,1.5,11.1
156,Walker Kessler,23,UTA,C,58,58,30.0,4.8,7.2,.663,0.1,0.6,.176,4.7,6.6,.706,.671,1.4,2.6,.520,4.6,7.6,12.2,1.7,0.6,2.4,1.5,2.2,11.1
157,Terry Rozier,30,MIA,PG,61,23,26.3,4.0,10.2,.396,1.5,4.9,.302,2.5,5.2,.484,.469,1.5,1.8,.852,0.7,3.1,3.7,2.7,0.6,0.2,1.2,1.2,11.1
158,Duncan Robinson,30,MIA,SF,68,35,24.4,3.9,9.0,.434,2.5,6.5,.387,1.4,2.5,.560,.575,0.6,0.7,.880,0.2,2.0,2.3,2.5,0.6,0.1,1.2,1.9,11.0
159,Gary Trent Jr.,26,MIL,SG,68,8,25.5,3.8,8.8,.434,2.4,5.8,.419,1.4,3.0,.461,.571,1.0,1.1,.870,0.3,2.0,2.3,1.1,1.0,0.1,0.6,1.7,11.0
160,Bogdan Bogdanović,32,2TM,SG,48,4,25.3,3.9,9.3,.423,1.9,5.5,.351,2.0,3.7,.531,.528,1.1,1.3,.883,0.4,2.6,3.0,2.6,0.8,0.2,1.5,2.3,10.9
160,Bogdan Bogdanović,32,ATL,SG,24,0,24.9,3.5,9.3,.371,1.8,6.1,.301,1.6,3.3,.500,.469,1.3,1.4,.882,0.5,2.3,2.8,2.0,0.8,0.3,1.5,2.4,10.0
160,Bogdan Bogdanović,32,LAC,SG,24,4,25.6,4.4,9.2,.477,2.0,5.0,.412,2.3,4.2,.554,.589,1.0,1.1,.885,0.3,2.9,3.2,3.2,0.7,0.2,1.4,2.2,11.8
161,Tim Hardaway Jr.,32,DET,SG,71,71,27.9,3.6,8.7,.408,2.2,5.8,.370,1.4,2.9,.485,.531,1.6,1.9,.846,0.3,2.2,2.4,1.6,0.5,0.1,0.6,1.3,10.9
162,Jordan Hawkins,22,NOP,SG,56,9,23.6,3.7,9.9,.372,2.0,5.9,.331,1.7,4.0,.433,.471,1.4,1.8,.816,0.4,2.4,2.8,1.2,0.5,0.4,1.0,0.9,10.8
163,Brandin Podziemski,21,GSW,SG,57,26,26.1,4.1,9.4,.432,1.6,4.6,.345,2.5,4.8,.514,.516,1.1,1.5,.747,1.0,3.9,4.9,3.3,1.1,0.2,1.1,1.5,10.8
164,Brandon Boston Jr.,23,NOP,SG,42,10,23.6,4.0,9.1,.436,1.2,3.3,.350,2.8,5.7,.485,.500,1.6,2.0,.788,0.7,2.5,3.2,2.2,1.3,0.2,1.2,1.7,10.7
165,Nikola Jović,21,MIA,PF,46,10,25.1,3.7,8.2,.456,1.7,4.6,.371,2.0,3.6,.563,.560,1.6,1.9,.828,0.6,3.3,3.9,2.8,0.8,0.3,1.3,1.8,10.7
166,Guerschon Yabusele,29,PHI,C,68,41,26.8,3.9,7.8,.499,1.5,3.8,.383,2.4,4.0,.610,.593,1.4,1.9,.720,1.9,3.8,5.7,2.1,0.8,0.4,1.3,2.4,10.7
167,Jonas Valančiūnas,32,2TM,C,75,21,19.3,4.3,7.9,.545,0.1,0.5,.229,4.2,7.5,.565,.552,1.8,2.0,.876,2.4,5.5,7.9,2.1,0.5,0.6,1.5,2.2,10.6
167,Jonas Valančiūnas,32,WAS,C,49,12,20.1,4.7,8.6,.547,0.1,0.6,.259,4.6,8.1,.567,.556,1.9,2.2,.896,2.4,5.8,8.2,2.2,0.4,0.6,1.8,2.0,11.5
167,Jonas Valančiūnas,32,SAC,C,26,9,17.8,3.6,6.7,.540,0.0,0.3,.125,3.6,6.4,.560,.543,1.5,1.8,.830,2.3,4.9,7.2,1.8,0.5,0.7,1.0,2.7,8.8
168,Obi Toppin,26,IND,PF,73,1,19.5,4.0,7.5,.538,1.4,3.8,.369,2.6,3.7,.710,.631,1.1,1.4,.798,0.7,3.3,4.0,1.6,0.6,0.3,0.8,1.4,10.6
169,Keon Johnson,22,BRK,SG,74,51,24.3,3.8,10.0,.383,1.6,5.1,.310,2.2,4.9,.458,.462,1.3,1.6,.769,0.8,2.9,3.7,2.1,1.1,0.4,1.4,2.7,10.5
170,Jaylen Wells,21,MEM,SG,76,71,25.9,3.7,8.6,.426,1.8,5.0,.355,1.9,3.6,.523,.529,1.4,1.7,.827,1.1,2.2,3.3,1.7,0.6,0.1,0.9,1.9,10.5
171,Grayson Allen,29,PHO,SG,58,4,24.3,3.3,7.5,.446,2.4,5.5,.431,0.9,1.9,.487,.605,1.4,1.8,.804,0.5,2.5,3.0,2.1,0.9,0.3,1.1,1.5,10.4
172,Tyus Jones,28,PHO,PG,75,57,27.5,3.8,8.5,.450,2.1,5.0,.418,1.7,3.5,.496,.573,0.7,0.7,.891,0.5,1.9,2.4,5.5,0.8,0.1,1.2,0.8,10.4
173,Grant Williams,26,CHO,PF,16,7,29.9,3.4,7.7,.439,1.7,4.6,.365,1.7,3.1,.551,.549,1.9,2.3,.838,1.1,4.0,5.1,2.3,1.1,0.8,1.8,2.9,10.4
174,Justin Edwards,21,PHI,SF,42,24,26.5,4.0,8.7,.459,1.6,4.4,.366,2.4,4.3,.552,.551,0.7,1.0,.705,1.1,2.2,3.3,1.6,1.0,0.4,1.1,2.3,10.3
175,Herbert Jones,26,NOP,SF,20,20,32.4,3.8,8.6,.436,1.1,3.6,.306,2.7,5.0,.530,.500,1.7,2.0,.825,1.1,2.8,3.9,3.3,1.9,0.5,1.8,3.3,10.3
176,De'Anthony Melton,26,GSW,SG,6,2,20.2,3.7,9.0,.407,2.2,5.8,.371,1.5,3.2,.474,.528,0.8,1.3,.625,1.0,2.3,3.3,2.8,1.2,0.3,1.7,3.0,10.3
177,Brice Sensabaugh,21,UTA,SF,66,10,19.3,3.7,8.0,.464,2.0,4.8,.420,1.7,3.2,.531,.591,0.8,0.9,.887,0.5,2.2,2.7,1.4,0.6,0.1,1.5,1.5,10.3
178,Nic Claxton,25,BRK,C,66,58,27.3,4.5,8.2,.551,0.0,0.3,.158,4.5,7.9,.565,.554,1.2,2.3,.513,2.3,5.3,7.6,2.2,0.9,1.5,1.3,2.2,10.2
179,Luguentz Dort,25,OKC,SF,68,68,29.3,3.6,8.4,.437,2.4,5.8,.411,1.3,2.6,.494,.579,0.5,0.6,.750,1.3,2.9,4.2,1.6,1.1,0.6,0.7,2.9,10.2
180,Derrick Jones Jr.,27,LAC,SF,71,53,24.4,4.0,7.7,.526,1.0,2.8,.365,3.0,4.9,.618,.592,1.1,1.6,.712,1.2,2.3,3.5,0.8,1.0,0.4,0.9,2.0,10.2
181,Andrew Nembhard,25,IND,SG,60,60,29.1,3.9,8.3,.467,0.8,2.7,.313,3.0,5.6,.540,.517,1.7,2.2,.791,0.5,2.8,3.3,5.0,1.2,0.2,1.8,2.3,10.2
182,Moses Moody,22,GSW,SG,67,27,22.1,3.4,7.8,.441,1.7,4.6,.374,1.7,3.1,.540,.553,1.5,1.9,.798,0.7,1.8,2.5,1.3,0.7,0.4,0.7,1.5,10.1
183,Ziaire Williams,23,BRK,SF,60,42,24.8,3.4,8.4,.408,1.7,4.9,.338,1.8,3.5,.505,.506,1.6,1.9,.825,1.0,3.6,4.6,1.4,1.0,0.4,1.0,2.4,10.1
184,Ochai Agbaji,24,TOR,SG,60,42,26.9,4.0,8.0,.496,1.5,3.8,.389,2.5,4.3,.590,.587,0.6,0.8,.702,0.9,2.9,3.8,1.6,0.8,0.5,0.8,1.9,10.0
185,Chris Boucher,32,TOR,PF,50,0,17.2,3.6,7.4,.492,1.4,3.9,.363,2.2,3.5,.633,.586,1.4,1.7,.782,1.4,3.1,4.5,0.7,0.5,0.5,0.6,1.4,10.0
186,N'Faly Dante,23,HOU,C,1,0,19.0,4.0,6.0,.667,0.0,0.0,,4.0,6.0,.667,.667,2.0,3.0,.667,4.0,5.0,9.0,1.0,0.0,2.0,1.0,4.0,10.0
187,Isaiah Joe,25,OKC,SG,69,13,21.3,3.4,7.9,.438,2.6,6.2,.410,0.9,1.7,.544,.600,0.6,0.7,.804,0.5,2.1,2.6,1.5,0.6,0.1,0.5,1.5,10.0
188,Georges Niang,31,2TM,PF,74,2,21.6,3.6,7.7,.465,2.1,5.1,.409,1.5,2.6,.571,.599,0.6,0.8,.793,0.6,2.9,3.6,1.4,0.4,0.2,1.0,2.6,9.9
188,Georges Niang,31,CLE,PF,51,1,20.6,3.3,6.8,.477,1.8,4.4,.400,1.5,2.4,.618,.606,0.5,0.6,.793,0.7,3.0,3.7,1.3,0.3,0.1,0.9,2.5,8.7
188,Georges Niang,31,ATL,PF,23,1,23.7,4.3,9.7,.446,2.7,6.5,.423,1.6,3.2,.493,.588,1.0,1.3,.793,0.5,2.7,3.2,1.7,0.5,0.3,1.0,2.7,12.3
189,Ausar Thompson,22,DET,SF,54,43,22.0,4.1,7.6,.538,0.2,0.8,.222,3.9,6.8,.576,.550,1.4,2.3,.624,1.9,3.1,5.0,2.2,1.7,0.6,1.5,2.8,9.9
190,Jose Alvarado,26,NOP,PG,52,19,24.2,3.5,8.8,.392,1.9,5.3,.358,1.6,3.6,.443,.499,1.0,1.2,.820,0.5,1.9,2.4,4.7,1.3,0.3,1.4,1.7,9.8
191,Amir Coffey,27,LAC,SG,71,13,24.6,3.4,7.2,.471,1.4,3.5,.409,2.0,3.7,.529,.570,1.6,1.8,.891,0.5,1.8,2.3,1.1,0.6,0.1,0.6,1.7,9.8
192,Julian Champagnie,23,SAS,SF,76,27,23.3,3.3,8.0,.411,2.1,5.8,.360,1.2,2.2,.545,.541,1.0,1.1,.906,0.9,3.0,3.8,1.4,0.8,0.4,0.9,1.4,9.7
193,Kevin Huerter,26,2TM,SG,64,26,23.9,3.6,8.6,.420,1.8,5.6,.325,1.8,3.0,.596,.525,0.5,0.7,.723,0.5,2.5,3.0,2.1,1.0,0.3,1.0,1.7,9.6
193,Kevin Huerter,26,SAC,SG,43,15,20.9,3.0,7.2,.413,1.4,4.8,.302,1.5,2.4,.629,.513,0.5,0.7,.714,0.4,2.3,2.8,1.7,0.8,0.4,0.9,1.6,7.9
193,Kevin Huerter,26,CHI,SG,21,11,30.1,4.9,11.4,.429,2.6,7.2,.355,2.3,4.2,.557,.542,0.7,0.9,.737,0.5,3.0,3.4,3.0,1.2,0.3,1.2,1.8,13.0
194,Kevin Porter Jr.,24,2TM,SG,69,3,19.0,3.7,8.4,.441,0.7,2.3,.297,3.0,6.1,.494,.481,1.5,2.0,.757,0.5,3.0,3.5,3.2,1.0,0.2,1.9,1.6,9.6
194,Kevin Porter Jr.,24,LAC,SG,45,2,19.6,3.8,9.0,.423,0.6,2.4,.245,3.2,6.7,.485,.455,1.1,1.7,.645,0.6,2.9,3.6,3.2,1.0,0.2,1.9,1.6,9.3
194,Kevin Porter Jr.,24,MIL,SG,24,1,17.8,3.5,7.3,.483,0.9,2.2,.404,2.6,5.1,.516,.543,2.3,2.5,.900,0.2,3.1,3.3,3.3,1.0,0.1,1.9,1.6,10.1
195,Nick Richards,27,2TM,C,54,41,22.2,3.7,6.2,.591,0.0,0.0,.000,3.7,6.2,.594,.591,2.2,2.9,.742,2.7,5.6,8.3,0.9,0.2,1.0,1.5,2.5,9.6
195,Nick Richards,27,CHO,C,21,9,21.0,3.0,5.4,.561,0.0,0.0,.000,3.0,5.4,.566,.561,2.8,4.1,.678,2.4,5.1,7.5,1.3,0.3,1.2,1.6,2.3,8.9
195,Nick Richards,27,PHO,C,33,32,22.9,4.1,6.8,.605,0.0,0.0,.000,4.1,6.7,.608,.605,1.8,2.2,.819,2.8,5.9,8.8,0.6,0.2,0.8,1.4,2.6,10.0
196,Cole Anthony,24,ORL,PG,62,22,18.6,3.5,8.3,.422,1.1,3.2,.347,2.4,5.1,.470,.489,1.4,1.7,.824,0.7,2.4,3.1,2.9,0.7,0.5,1.6,2.3,9.6
197,Scotty Pippen Jr.,24,MEM,PG,74,20,20.8,3.5,7.4,.478,1.1,2.8,.382,2.5,4.6,.535,.549,1.5,2.0,.715,0.8,2.5,3.3,4.4,1.3,0.4,1.7,2.5,9.6
198,Nick Smith Jr.,20,CHO,SG,56,25,22.8,3.7,9.5,.387,1.7,5.0,.333,2.0,4.4,.448,.475,0.6,0.7,.919,0.2,1.8,2.0,2.2,0.3,0.1,1.4,1.3,9.6
199,Nickeil Alexander-Walker,26,MIN,SG,76,10,25.3,3.3,7.6,.439,1.8,4.5,.390,1.6,3.1,.513,.556,1.1,1.4,.777,0.6,2.6,3.2,2.6,0.6,0.4,1.2,1.7,9.5
200,Trendon Watford,24,BRK,PF,38,0,19.9,3.5,7.7,.457,0.7,2.1,.316,2.8,5.6,.509,.500,1.8,2.4,.753,0.7,2.6,3.3,2.4,0.7,0.3,1.8,2.1,9.5
201,Max Christie,21,2TM,SG,73,35,27.0,3.2,7.4,.425,1.5,4.0,.371,1.7,3.4,.490,.526,1.6,1.9,.857,0.5,2.7,3.2,1.9,0.8,0.4,1.1,1.5,9.4
201,Max Christie,21,LAL,SG,46,25,25.1,2.8,6.3,.444,1.3,3.5,.368,1.5,2.7,.544,.549,1.6,1.9,.851,0.5,2.1,2.7,1.4,0.8,0.5,0.8,1.6,8.5
201,Max Christie,21,DAL,SG,27,10,30.4,3.8,9.4,.403,1.8,4.9,.374,2.0,4.5,.434,.500,1.7,2.0,.868,0.4,3.8,4.2,2.6,1.0,0.3,1.4,1.4,11.1
202,Miles McBride,24,NYK,PG,59,8,24.9,3.4,8.4,.407,1.8,4.7,.371,1.7,3.7,.454,.512,0.8,1.0,.817,0.7,1.8,2.5,2.9,0.9,0.3,0.7,1.6,9.4
203,Julian Strawther,22,DEN,SG,61,4,22.1,3.4,7.7,.434,1.5,4.3,.357,1.8,3.4,.531,.534,1.1,1.3,.829,0.3,1.9,2.2,1.3,0.6,0.2,0.9,2.4,9.4
204,Bub Carrington,19,WAS,PG,76,51,29.4,3.4,8.6,.396,1.6,4.8,.334,1.8,3.9,.473,.489,0.8,1.0,.827,0.4,3.7,4.1,4.2,0.7,0.2,1.7,2.3,9.3
205,Royce O'Neale,31,PHO,SF,69,19,24.8,3.3,7.6,.434,2.4,5.8,.421,0.8,1.8,.475,.596,0.3,0.4,.731,0.7,4.1,4.8,2.2,0.9,0.4,0.9,2.0,9.3
206,Max Strus,28,CLE,SF,46,33,25.0,3.3,7.4,.441,2.2,5.8,.385,1.0,1.6,.640,.591,0.6,0.7,.844,1.0,3.2,4.2,3.1,0.5,0.2,1.0,2.1,9.3
207,Anthony Black,21,ORL,PG,73,9,23.9,3.3,7.7,.423,0.8,2.5,.313,2.5,5.2,.475,.473,2.0,2.6,.761,0.6,2.2,2.8,3.1,1.1,0.6,1.8,2.1,9.2
208,Zach Edey,22,MEM,C,61,50,20.7,3.8,6.6,.575,0.3,0.8,.375,3.5,5.9,.602,.598,1.3,1.8,.721,3.5,4.2,7.7,0.9,0.5,1.3,1.2,2.7,9.2
